epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,100.188,0.53533,0.51018,0.00301,0.97036,0.963,0.99025,0.84556,0.55479,0.28726,0.00479,0.000840286,0.000840286,0.000840286
43,102.199,0.50821,0.4786,0.00295,0.94247,0.94118,0.98845,0.85368,0.51278,0.27829,0.00439,0.000812,0.000812,0.000812
44,104.285,0.46763,0.41532,0.00268,0.97055,0.96939,0.98897,0.86814,0.46694,0.26086,0.00411,0.000783714,0.000783714,0.000783714
45,106.389,0.47757,0.43565,0.00267,1,0.96541,0.99443,0.8456,0.58662,0.27582,0.00516,0.000755429,0.000755429,0.000755429
46,108.237,0.50895,0.46083,0.00291,0.91874,0.99771,0.98851,0.85259,0.57337,0.2887,0.00479,0.000727143,0.000727143,0.000727143
47,110.217,0.51777,0.45449,0.00287,0.9185,0.99451,0.98727,0.87804,0.48221,0.27026,0.00412,0.000698857,0.000698857,0.000698857
48,112.086,0.49215,0.40105,0.00298,0.93856,1,0.99131,0.89351,0.48082,0.24885,0.00412,0.000670571,0.000670571,0.000670571
49,114.043,0.51932,0.4741,0.00292,0.9675,1,0.99443,0.8483,0.56082,0.23731,0.00516,0.000642286,0.000642286,0.000642286
50,115.979,0.47818,0.40818,0.00273,0.96724,1,0.99357,0.87578,0.48289,0.21487,0.00406,0.000614,0.000614,0.000614
51,117.765,0.49657,0.4438,0.00278,0.96739,1,0.991,0.87464,0.48931,0.22007,0.00434,0.000585714,0.000585714,0.000585714
52,119.496,0.4781,0.40193,0.0029,0.97133,0.99669,0.98843,0.88556,0.49527,0.22766,0.00462,0.000557429,0.000557429,0.000557429
53,121.24,0.50247,0.43899,0.00286,0.96568,0.97059,0.98808,0.88863,0.40843,0.31326,0.00354,0.000529143,0.000529143,0.000529143
54,122.982,0.46489,0.39889,0.00265,0.99647,0.97059,0.99389,0.90444,0.40951,0.2734,0.00354,0.000500857,0.000500857,0.000500857
55,124.745,0.4006,0.3503,0.0024,0.99135,1,0.995,0.91758,0.37904,0.27561,0.00339,0.000472571,0.000472571,0.000472571
56,126.514,0.40719,0.36533,0.00237,0.9991,1,0.995,0.92107,0.33384,0.27291,0.00294,0.000444286,0.000444286,0.000444286
57,128.33,0.40203,0.36785,0.00228,0.99637,1,0.995,0.92918,0.34109,0.26912,0.00293,0.000416,0.000416,0.000416
58,130.293,0.40553,0.35418,0.00236,1,0.99371,0.995,0.9071,0.38276,0.28371,0.00332,0.000387714,0.000387714,0.000387714
59,132.023,0.4413,0.36974,0.00277,1,0.93942,0.99301,0.92142,0.406,0.18482,0.00352,0.000359429,0.000359429,0.000359429
60,133.763,0.39883,0.35815,0.00243,0.96928,0.97059,0.99301,0.89131,0.45901,0.20475,0.004,0.000331143,0.000331143,0.000331143
61,153.429,0.32212,0.40402,0.00224,0.99626,0.94118,0.99222,0.85993,0.53764,0.24059,0.00468,0.000302857,0.000302857,0.000302857
62,155.518,0.34851,0.40063,0.00246,0.99481,0.94118,0.99166,0.88058,0.47232,0.25908,0.00416,0.000274571,0.000274571,0.000274571
63,157.415,0.34961,0.38349,0.00243,0.93996,1,0.99212,0.9027,0.40656,0.18991,0.00362,0.000246286,0.000246286,0.000246286
64,159.295,0.32809,0.34808,0.00224,0.93521,1,0.99124,0.91701,0.38857,0.2,0.00349,0.000218,0.000218,0.000218
65,161.067,0.31117,0.37361,0.00211,0.94358,1,0.99389,0.90746,0.44077,0.19877,0.00402,0.000189714,0.000189714,0.000189714
66,162.826,0.34212,0.38585,0.00244,0.99351,0.97059,0.99338,0.91599,0.40381,0.19666,0.00356,0.000161429,0.000161429,0.000161429
67,164.617,0.30073,0.34324,0.00209,0.9979,0.97059,0.99389,0.92516,0.37479,0.20322,0.00337,0.000133143,0.000133143,0.000133143
68,166.353,0.33235,0.3379,0.00236,0.98468,1,0.995,0.92173,0.33297,0.29971,0.00294,0.000104857,0.000104857,0.000104857
69,168.1,0.30805,0.31923,0.00218,0.98948,1,0.995,0.92319,0.34419,0.29868,0.00305,7.65714e-05,7.65714e-05,7.65714e-05
70,169.97,0.29884,0.33732,0.00203,0.99367,1,0.995,0.91719,0.34941,0.30131,0.00306,4.82857e-05,4.82857e-05,4.82857e-05
